date,hour,day_of_week,city,state,zip,median_income_zip,school_name,school_type,school_level,relationship_to_school,deaths,injuries,murder_suicide,start_location,semiautomatic_present,school_security,previous_reports,how_gun_acquired,state_purchased,puchase_location,rounds_carried,rounds_fired,shooter_age,home_parents,home_siblings,home_abuse
2018-03-07,15,Wednesday,Birmingham,Alabama,35215,39786,Huffman High School,public,high,student,1,2,,,,,,,,,,,,,,
2018-03-02,8,Friday,Mount Pleasant,Michigan,48859,31279,Central Michigan University,,college,student,2,,0,inside,,,"police, hospital",parent,,,,,19,married ,2, 
2018-02-14,,,Parkland,Florida,,,,,,,17,14,,,,,,,,,,,,,,
2018-02-05,,,Oxon Hill,Maryland,,,,,,,0,1,,,,,,,,,,,,,,
2018-02-01,,,Los Angeles,California,,,,,,,0,5,,,,,,,,,,,,,,
2018-01-23,,,Marshall County,Kentucky,,,,,,,2,18,,,,,,,,,,,,,,
2018-01-22,,,Italy,Texas,,,,,,,0,1,,,,,,,,,,,,,,
2018-01-22,,,New Orleans,Louisiana,,,,,,,0,1,,,,,,,,,,,,,,
2018-01-20,,,Winston-Salem,North Carolina,,,,,,,1,0,,,,,,,,,,,,,,
2018-01-09,,,Forest City,Iowa,,,,,,,0,0,,,,,,,,,,,,,,
2017-12-07,,,Aztec,New Mexico,,,,,,,3,0,,,,,,,,,,,,,,
2017-11-14,,,Rancho Tehama Reserve,California,,,,,,,6,18,,,,,,,,,,,,,,
2017-09-20,,,Mattoon,Illinois,,,,,,,0,1,,,,,,,,,,,,,,
2017-09-13,,,Rockford,Washington,,,,,,,1,3,,,,,,,,,,,,,,
2017-05-04,,,Irving,Texas,,,,,,,2,0,,,,,,,,,,,,,,
2017-04-10,,,San Bernardino,California,,,,,,,3,1,,,,,,,,,,,,,,
2017-03-21,,,King City,California,,,,,,,0,1,,,,,,,,,,,,,,
2017-01-20,,,West Liberty,Ohio,,,,,,,0,1,,,,,,,,,,,,,,
2017-01-20,,,Seattle,Washington,,,,,,,0,1,,,,,,,,,,,,,,
2016-12-01,,,Bountiful,Utah,,,,,,,0,0,,,,,,,,,,,,,,
2016-10-25,,,Sandy,Utah,,,,,,,0,1,,,,,,,,,,,,,,
2016-10-18,,,San Francisco,California,,,,,,,0,4,,,,,,,,,,,,,,
2016-10-13,,,Columbus,Ohio,,,,,,,0,2,,,,,,,,,,,,,,
2016-10-11,,,Mobile,Alabama,,,,,,,0,1,,,,,,,,,,,,,,
2016-09-28,,,Townville,South Carolina,,,,,,,2,2,,,,,,,,,,,,,,
2016-09-09,,,Alpine,Texas,,,,,,,1,2,,,,,,,,,,,,,,
2016-06-08,,,Dorchester,Massachusetts,,,,,,,1,3,,,,,,,,,,,,,,
2016-06-01,,,Los Angeles,California,,,,,,,2,0,,,,,,,,,,,,,,
2016-04-23,,,Antigo,Wisconsin,,,,,,,1,2,,,,,,,,,,,,,,
2016-02-29,,,Middletown,Ohio,,,,,,,0,4,,,,,,,,,,,,,,
2016-02-12,,,Glendale,Arizona,,,,,,,2,0,,,,,,,,,,,,,,
2016-02-09,,,Muskegon Heights,Michigan,,,,,,,0,4,,,,,,,,,,,,,,
2016-01-29,,,Philadelphia,Pennsylvania,,,,,,,0,0,,,,,,,,,,,,,,
2016-01-22,,,Indianapolis,Indiana,,,,,,,0,1,,,,,,,,,,,,,,
2015-11-20,,,North Las Vegas,Nevada,,,,,,,1,0,,,,,,,,,,,,,,
2015-11-01,,,Winston-Salem,North Carolina,,,,,,,1,1,,,,,,,,,,,,,,
2015-10-22,,,Nashville,Tennessee,,,,,,,1,3,,,,,,,,,,,,,,
2015-10-09,,,Flagstaff,Arizona,,,,,,,1,3,,,,,,,,,,,,,,
2015-10-09,,,Houston,Texas,,,,,,,1,1,,,,,,,,,,,,,,
2015-10-01,,,Roseburg,Oregon,,,,,,,10,9,,,,,,,,,,,,,,
2015-09-30,,,Harrisburg,South Dakota,,,,,,,0,1,,,,,,,,,,,,,,
2015-09-14,,,Cleveland,Mississippi,,,,,,,2,0,,,,,,,,,,,,,,
2015-09-03,,,Sacramento,California,,,,,,,1,2,,,,,,,,,,,,,,
2015-08-27,,,Savannah,Georgia,,,,,,,1,0,,,,,,,,,,,,,,
2015-05-24,,,Flint,Michigan,,,,,,,0,7,,,,,,,,,,,,,,
2015-05-12,,,Jacksonville,Florida,,,,,,,0,2,,,,,,,,,,,,,,
2015-04-27,,,Lacey,Washington,,,,,,,0,0,,,,,,,,,,,,,,
2015-04-16,,,Paradis,Louisiana,,,,,,,0,1,,,,,,,,,,,,,,
2015-04-13,,,Goldsboro,North Carolina,,,,,,,1,0,,,,,,,,,,,,,,
2015-03-30,,,University City,Missouri,,,,,,,0,1,,,,,,,,,,,,,,
2015-02-23,,,Daytona Beach,Florida,,,,,,,0,3,,,,,,,,,,,,,,
2015-02-14,,,Merced,California,,,,,,,1,0,,,,,,,,,,,,,,
2015-02-04,,,Frederick,Maryland,,,,,,,0,2,,,,,,,,,,,,,,
2015-01-16,,,Ocala,Florida,,,,,,,0,2,,,,,,,,,,,,,,
2015-01-15,,,Milwaukee,Wisconsin,,,,,,,0,3,,,,,,,,,,,,,,
2014-12-12,,,Portland,Oregon,,,,,,,0,4,,,,,,,,,,,,,,
2014-12-05,,,Claremore,Oklahoma,,,,,,,1,0,,,,,,,,,,,,,,
2014-11-20,,,Tallahassee,Florida,,,,,,,1,3,,,,,,,,,,,,,,
2014-11-20,,,Miami,Florida,,,,,,,1,1,,,,,,,,,,,,,,
2014-10-24,,,Marysville,Washington,,,,,,,5,1,,,,,,,,,,,,,,
2014-10-03,,,Fairburn,Georgia,,,,,,,1,0,,,,,,,,,,,,,,
2014-09-30,,,Albemarle,North Carolina,,,,,,,0,1,,,,,,,,,,,,,,
2014-09-30,,,Louisville,Kentucky,,,,,,,0,1,,,,,,,,,,,,,,
2014-09-27,,,Terre Haute,Indiana,,,,,,,0,1,,,,,,,,,,,,,,
2014-09-11,,,Taylorsville,Utah,,,,,,,0,1,,,,,,,,,,,,,,
2014-09-09,,,Miami,Florida,,,,,,,0,1,,,,,,,,,,,,,,
2014-06-10,,,Troutdale,Oregon,,,,,,,2,1,,,,,,,,,,,,,,
2014-06-05,,,Seattle,Washington,,,,,,,1,3,,,,,,,,,,,,,,
2014-05-14,,,Richmond,California,,,,,,,0,1,,,,,,,,,,,,,,
2014-05-08,,,Lawrenceville,Georgia,,,,,,,0,1,,,,,,,,,,,,,,
2014-05-05,,,Augusta,Georgia,,,,,,,0,1,,,,,,,,,,,,,,
2014-05-04,,,Augusta,Georgia,,,,,,,0,1,,,,,,,,,,,,,,
2014-04-11,,,Detroit,Michigan,,,,,,,1,0,,,,,,,,,,,,,,
2014-04-09,,,Greenville,North Carolina,,,,,,,0,0,,,,,,,,,,,,,,
2014-03-25,,,College Park,Georgia,,,,,,,0,0,,,,,,,,,,,,,,
2014-03-12,,,Miami,Florida,,,,,,,1,0,,,,,,,,,,,,,,
2014-02-22,,,Augusta,Georgia,,,,,,,0,1,,,,,,,,,,,,,,
2014-02-12,,,Los Angeles,California,,,,,,,0,1,,,,,,,,,,,,,,
2014-02-10,,,Salisbury,North Carolina,,,,,,,0,1,,,,,,,,,,,,,,
2014-02-10,,,Lyndhurst,Ohio,,,,,,,0,0,,,,,,,,,,,,,,
2014-01-31,,,Des Moines,Iowa,,,,,,,0,1,,,,,,,,,,,,,,
2014-01-30,,,Palm Bay,Florida,,,,,,,0,1,,,,,,,,,,,,,,
2014-01-28,,,Nashville,Tennessee,,,,,,,0,1,,,,,,,,,,,,,,
2014-01-27,,,Carbondale,Illinois,,,,,,,0,1,,,,,,,,,,,,,,
2014-01-25,,,Los Angeles,California,,,,,,,1,0,,,,,,,,,,,,,,
2014-01-24,,,Orangeburg,South Carolina,,,,,,,1,0,,,,,,,,,,,,,,
2014-01-21,,,West Lafayette,Indiana,,,,,,,1,0,,,,,,,,,,,,,,
2014-01-20,,,Chester,Pennsylvania,,,,,,,0,1,,,,,,,,,,,,,,
2014-01-17,,,Philadelphia,Pennsylvania,,,,,,,0,2,,,,,,,,,,,,,,
2014-01-14,,,Roswell,New Mexico,,,,,,,0,3,,,,,,,,,,,,,,
2014-01-13,,,New Haven,Connecticut,,,,,,,0,1,,,,,,,,,,,,,,
2014-01-09,,,Jackson,Tennessee,,,,,,,0,1,,,,,,,,,,,,,,
2013-12-19,,,Fresno,California,,,,,,,0,1,,,,,,,,,,,,,,
2013-12-13,,,Centennial,Colorado,,,,,,,2,0,,,,,,,,,,,,,,
2013-12-04,,,Winter Garden,Florida,,,,,,,0,1,,,,,,,,,,,,,,
2013-11-13,,,Pittsburgh,Pennsylvania,,,,,,,0,3,,,,,,,,,,,,,,
2013-11-03,,,Lithonia,Georgia,,,,,,,0,2,,,,,,,,,,,,,,
2013-11-02,,,Greensboro,North Carolina,,,,,,,0,1,,,,,,,,,,,,,,
2013-10-21,,,Sparks,Nevada,,,,,,,2,2,,,,,,,,,,,,,,
2013-10-04,,,Pine Hills,Florida,,,,,,,0,2,,,,,,,,,,,,,,
2013-08-30,,,Winston-Salem,North Carolina,,,,,,,0,1,,,,,,,,,,,,,,
2013-08-23,,,Sardis,Mississippi,,,,,,,1,2,,,,,,,,,,,,,,
2013-08-20,,,Decatur,Georgia,,,,,,,0,0,,,,,,,,,,,,,,
2013-06-07,,,Santa Monica,California,,,,,,,6,4,,,,,,,,,,,,,,
2013-05-14,,,Birmingham,Alabama,,,,,,,0,0,,,,,,,,,,,,,,
2013-04-18,,,Cambridge,Massachusetts,,,,,,,2,1,,,,,,,,,,,,,,
2013-04-16,,,Grambling,Louisiana,,,,,,,0,3,,,,,,,,,,,,,,
2013-04-12,,,Dublin,Virginia,,,,,,,0,2,,,,,,,,,,,,,,
2013-03-18,,,Orlando,Florida,,,,,,,1,0,,,,,,,,,,,,,,
2013-01-31,,,Phoenix,Arizona,,,,,,,0,0,,,,,,,,,,,,,,
2013-01-31,,,Atlanta,Georgia,,,,,,,0,2,,,,,,,,,,,,,,
2013-01-22,,,Houston,Texas,,,,,,,0,3,,,,,,,,,,,,,,
2013-01-16,,,Chicago,Illinois,,,,,,,1,0,,,,,,,,,,,,,,
2013-01-15,,,St. Louis,Missouri,,,,,,,0,2,,,,,,,,,,,,,,
2013-01-15,,,Hazard,Kentucky,,,,,,,3,0,,,,,,,,,,,,,,
2013-01-12,,,Detroit,Michigan,,,,,,,0,1,,,,,,,,,,,,,,
2013-01-10,,,Taft,California,,,,,,,0,2,,,,,,,,,,,,,,
2013-01-07,,,Fort Myers,Florida,,,,,,,1,0,,,,,,,,,,,,,,
2012-12-14,,,Newtown,Connecticut,,,,,,,28,2,,,,,,,,,,,,,,
2012-10-31,,,Los Angeles,California,,,,,,,0,4,,,,,,,,,,,,,,
2012-10-19,,,Chicago,Illinois,,,,,,,1,0,,,,,,,,,,,,,,
2012-10-06,,,Mobile,Alabama,,,,,,,1,0,,,,,,,,,,,,,,
2012-09-07,,,Normal,Illinois,,,,,,,0,0,,,,,,,,,,,,,,
2012-08-27,,,Perry Hall,Maryland,,,,,,,0,1,,,,,,,,,,,,,,
2012-08-16,,,Memphis,Tennessee,,,,,,,0,2,,,,,,,,,,,,,,
2012-04-02,,,Oakland,California,,,,,,,7,3,,,,,,,,,,,,,,
2012-03-06,,,Jacksonville,Florida,,,,,,,2,0,,,,,,,,,,,,,,
2012-02-27,,,Chardon,Ohio,,,,,,,3,3,,,,,,,,,,,,,,
2012-01-10,,,Houston,Texas,,,,,,,0,1,,,,,,,,,,,,,,
2011-12-09,,,Edinburg,Texas,,,,,,,0,2,,,,,,,,,,,,,,
2011-12-08,,,Blacksburg,Virginia,,,,,,,2,0,,,,,,,,,,,,,,
2011-10-24,,,Fayetteville,North Carolina,,,,,,,0,1,,,,,,,,,,,,,,
2011-05-23,,,Pearl City,Hawaii,,,,,,,0,1,,,,,,,,,,,,,,
2011-03-31,,,Houston,Texas,,,,,,,1,5,,,,,,,,,,,,,,
2011-03-25,,,Martinsville,Indiana,,,,,,,0,1,,,,,,,,,,,,,,
2011-01-05,,,Omaha,Nebraska,,,,,,,2,2,,,,,,,,,,,,,,
2010-12-06,,,Aurora,Colorado,,,,,,,0,1,,,,,,,,,,,,,,
2010-11-29,,,Marinette,Wisconsin,,,,,,,1,0,,,,,,,,,,,,,,
2010-10-08,,,Carlsbad,California,,,,,,,0,2,,,,,,,,,,,,,,
2010-10-01,,,Salinas,California,,,,,,,1,0,,,,,,,,,,,,,,
2010-09-28,,,Austin,Texas,,,,,,,1,1,,,,,,,,,,,,,,
2010-09-08,,,Detroit,Michigan,,,,,,,0,2,,,,,,,,,,,,,,
2010-03-09,,,Columbus,Ohio,,,,,,,1,1,,,,,,,,,,,,,,
2010-02-23,,,Littleton,Colorado,,,,,,,0,2,,,,,,,,,,,,,,
2010-02-19,,,DeKalb,Illinois,,,,,,,0,1,,,,,,,,,,,,,,
2010-02-12,,,Huntsville,Alabama,,,,,,,3,3,,,,,,,,,,,,,,
2010-02-05,,,Madison,Alabama,,,,,,,1,0,,,,,,,,,,,,,,